,id,ticker,date,side,strike,bidPrice,askPrice,delta,theta,gamma,volatility,description,assetType,symbol,short_trade,executed,trader,channel,time,closing
10,f6a6d47e24fb11eb8b4a3800255995ba,PTON,11/13,PUTS,107.0,1.08,1.31,-0.2992,-0.5633,0.0535,79.5979,PTON Nov 13 2020 107 Put (Weekly),OPTION,PTON_111320P107,False,False,BigCat,members-trades-and-spreads🔌,2020-11-12 10:30:16.112631,False
11,f6a6d47e24fb11eb8b4a3800255995ba,PTON,11/13,PUTS,107.0,1.38,1.49,-0.3401,-0.5651,0.0594,76.2477,PTON Nov 13 2020 107 Put (Weekly),OPTION,PTON_111320P107,False,False,BigCat,members-trades-and-spreads🔌,2020-11-12 10:30:16.112631,True
12,c4e8a90e24f911eb9ac33800255995ba,NET,11/20,CALLS,65.0,1.6,1.7,0.3935,-0.134,0.0614,63.4303,NET Nov 20 2020 65 Call,OPTION,NET_112020C65,False,False,SammySnipes,sammysnipes-trades🎯,2020-11-12 10:14:33.897570,True
13,b487373c250511eb86ea3800255995ba,AMD,11/20,CALLS,85.0,1.15,1.16,0.3293,-0.1118,0.0651,43.029,AMD Nov 20 2020 85 Call,OPTION,AMD_112020C85,False,False,dahonam,request-bot🤖,2020-11-12 11:40:00.165933,False
14,474151f2250611eba0cf3800255995ba,BA,11/20,CALLS,120.0,62.15,62.9,0.0,0.0,0.0,0.0,BA Nov 20 2020 120 Call,OPTION,BA_112020C120,False,False,therealyoungari,request-bot🤖,2020-11-12 11:44:06.289680,False
15,0834445d24f711ebbb3f3800255995ba,BA,11/13,CALLS,180.0,4.45,4.65,0.7202,-0.5223,0.0542,45.6939,BA Nov 13 2020 180 Call (Weekly),OPTION,BA_111320C180,False,False,Eddy_Trades💸⭕🖨,members-trades-and-spreads🔌,2020-11-12 09:54:58.039447,True
16,474151f2250611eba0cf3800255995ba,BA,11/20,CALLS,120.0,63.45,63.75,0.0,0.0,0.0,0.0,BA Nov 20 2020 120 Call,OPTION,BA_112020C120,False,False,therealyoungari,request-bot🤖,2020-11-12 11:44:06.289680,True
17,1d675ea2250811ebabd03800255995ba,FUBO,11/20,PUTS,120.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,Symbol not found,OPTION,FUBO_112020P120,False,False,BigCat,request-bot🤖,2020-11-12 11:57:15.042185,False
18,1dcceb74250811eb97eb3800255995ba,NIO,11/13,PUTS,47.0,1.6,1.63,-0.5016,-0.3777,0.1052,109.3264,NIO Nov 13 2020 47 Put (Weekly),OPTION,NIO_111320P47,False,False,corey,request-bot🤖,2020-11-12 11:57:15.702710,False
19,b487373c250511eb86ea3800255995ba,AMD,11/20,CALLS,85.0,1.07,1.08,0.3095,-0.1083,0.0638,42.9387,AMD Nov 20 2020 85 Call,OPTION,AMD_112020C85,False,False,dahonam,request-bot🤖,2020-11-12 11:40:00.165933,True
20,1ff78c41250e11ebb2b93800255995ba,SPY,11/20,PUTS,348.0,2.25,2.26,-0.2973,-0.2299,0.0295,21.0986,SPY Nov 20 2020 348 Put,OPTION,SPY_112020P348,False,False,SammySnipes,sammysnipes-trades🎯,2020-11-12 12:40:17.298363,False
21,31616c07250e11eb823b3800255995ba,ZM,11/20,CALLS,500.0,4.7,4.8,0.1596,-0.8124,0.004,88.9722,ZM Nov 20 2020 500 Call,OPTION,ZM_112020C500,False,False,Taaka,members-trades-and-spreads🔌,2020-11-12 12:40:45.527673,False
22,7dd6610f251011eb9d4c3800255995ba,AUY,11/27,CALLS,5.0,0.57,0.59,0.862,-0.0035,0.3872,46.8082,AUY Nov 27 2020 5 Call (Weekly),OPTION,AUY_112720C5,False,False,Zach.b,request-bot🤖,2020-11-12 12:57:13.005502,False
23,d06faadf251211eb9a773800255995ba,IWM,11/20,PUTS,167.0,2.16,2.21,-0.3842,-0.1694,0.0484,29.7225,IWM Nov 20 2020 167 Put,OPTION,IWM_112020P167,False,False,Engine Trades,engine-trades🏃🔥⚙,2020-11-12 13:13:51.395196,False
24,206b698c251311eb88fd3800255995ba,NIO,11/20,CALLS,50.0,3.9,3.95,0.4923,-0.2576,0.0343,153.1186,NIO Nov 20 2020 50 Call,OPTION,NIO_112020C50,False,False,TacoTradez🌮,request-bot🤖,2020-11-12 13:16:04.553338,False
25,43000f80251a11ebb1013800255995ba,NIO,11/20,PUTS,40.0,1.46,1.49,-0.2007,-0.1809,0.0242,155.2726,NIO Nov 20 2020 40 Put,OPTION,NIO_112020P40,False,False,JD,members-trades-and-spreads🔌,2020-11-12 14:07:10.075036,False
26,ace5424c251b11ebade53800255995ba,SPCE,11/20,CALLS,25.0,0.31,0.32,0.1879,-0.049,0.0824,96.4758,SPCE Nov 20 2020 25 Call,OPTION,SPCE_112020C25,False,False,sling1221,members-trades-and-spreads🔌,2020-11-12 14:17:16.484114,False
27,e34ada51251d11eb9fca3800255995ba,TGT,11/20,CALLS,165.0,2.92,3.05,0.3634,-0.259,0.0299,49.9116,TGT Nov 20 2020 165 Call,OPTION,TGT_112020C165,False,False,Rich,members-trades-and-spreads🔌,2020-11-12 14:33:06.730237,False
28,cb3145b1252011eb9b833800255995ba,NIO,11/20,CALLS,51.0,3.6,3.7,0.4624,-0.2626,0.0334,156.8137,NIO Nov 20 2020 51 Call,OPTION,NIO_112020C51,False,False,Taaka,members-trades-and-spreads🔌,2020-11-12 14:53:54.553581,False
29,3e8c2cd1252211ebac483800255995ba,TSLA,11/20,CALLS,425.0,7.5,7.65,0.3539,-0.6861,0.0112,51.444,TSLA Nov 20 2020 425 Call,OPTION,TSLA_112020C425,False,False,zoom,members-trades-and-spreads🔌,2020-11-12 15:04:17.810589,False
