,ID,TRADER,COMMAND,TICKER,POSITIONS,NET_PRICE,OPENING,DATE,AVG_PRICE,CLOSED,PROFIT
79,6156df6728ea11ebbdb63800255995ba,Visvim,standard,AMD,1,-1.45,True,11/20,1.4,True,-6.21
80,932763fe28ea11eb92d33800255995ba,SilverSurfie,standard,BLNK,1,-0.95,True,12/18,0.81,True,31.58
81,a984db8328ea11ebbd663800255995ba,Rich,standard,CRM,1,-2.09,True,11/20,2.0,True,30.14
82,95bd8eb028ed11eb811c3800255995ba,cMoney💰,standard,SPY,1,-0.62,True,11/18,0.61,True,14.52
83,d29a0a0c28f411eb84f83800255995ba,Eddy_Trades,standard,BA,1,-4.15,True,11/20,3.88,True,207.23
84,1439848c290011ebac7e3800255995ba,Engine Trades,standard,SONO,1,-0.9,True,11/20,0.87,True,11.11
85,9b75ef8f290711eb8db93800255995ba,ED🥴,standard,BABA,1,-1.72,True,12/24,1.7,True,-99.42
86,c1d16335290b11eb96d83800255995ba,ED🥴,standard,TSLA,1,-1.4,True,11/20,1.4,True,317.86
87,531104bc290d11eb9dce3800255995ba,Rich,standard,PTON,1,-1.94,True,11/27,1.9,True,15.46
88,fc132fab290d11eb85cc3800255995ba,ED🥴,standard,BABA,1,-1.72,True,12/24,1.7,True,0.1
89,a4400423291011eb8c0e3800255995ba,SilverSurfie,standard,NIO,1,-0.5,True,11/20,0.45,True,-78.0
90,acb06f06291011ebb8f63800255995ba,SilverSurfie,standard,NIO,1,-0.27,True,11/20,0.29,True,-88.89
91,584e555f291111eba31a3800255995ba,Rich,standard,TSM,1,-0.63,True,11/20,0.62,True,23.81
92,ad7cec78291111eb8bd63800255995ba,SilverSurfie,standard,BABA,1,-1.72,True,12/24,1.68,True,69.19
93,21d1bfc7291411ebaa1c3800255995ba,Reventing,standard,BA,1,-2.21,True,11/20,,True,130.77
94,280d950e291411ebb86e3800255995ba,BigCat,standard,MIK,1,-0.55,True,12/18,0.55,True,27.27
95,5374d47a291511ebae023800255995ba,BigCat,standard,DKNG,1,-0.6,True,11/20,0.55,True,58.33
96,af8ca803291711ebaac73800255995ba,BigCat,standard,FUBO,1,-0.4,True,11/20,0.39,True,75.0
97,46cda8cc291b11eb94c93800255995ba,ED🥴,standard,TWTR,1,-0.55,True,12/11,0.49,True,98.18
98,cd4beb7d29aa11eb83383800255995ba,SammySnipes,standard,NFLX,1,-6.3,True,11/27,,True,-20.1
99,5ceb2d8f29ab11eb929a3800255995ba,Eddy_Trades,standard,DKNG,1,-1.6,True,11/27,1.5,True,-25.0
100,64883b0329ab11ebbbd33800255995ba,Adam B,ironcondor,AMD,0,0.1,True,12/18,1.11,True,100.0
101,1ff7a54429ac11ebb8ca3800255995ba,JD,standard,SNAP,1,-0.27,True,11/27,0.25,True,22.22
102,32a2783a29ac11eb8d9f3800255995ba,TacoTradez🌮,standard,SNAP,1,-0.29,True,11/27,,True,-10.34
103,4ce8e0de29ac11ebada73800255995ba,TacoTradez🌮,standard,TSLA,1,-15.0,True,11/27,,True,3.67
104,e7d03c8029ac11eb947a3800255995ba,cMoney💰,standard,ACB,1,-0.45,True,11/27,,True,11.11
105,22078b3d29ad11eb9c483800255995ba,Rich,standard,HOME,1,-1.75,True,12/18,1.75,True,31.43
106,4f0ec85729ad11eb93593800255995ba,SammySnipes,standard,AMZN,1,-12.6,True,11/27,,True,-20.1
107,4c3253db29ae11eb9d6e3800255995ba,Hugh Jassol,ironcondor,AMD,0,0.1,True,12/18,1.17,False,
108,94dec15c29ae11ebbb463800255995ba,Reventing,standard,SPCE,1,-0.9,True,11/27,,True,14.44
109,06ecd81529b011eba5903800255995ba,Charlie678,straddle,AMD,1,-2.91,True,11/20,,True,2.06
110,0fe5218429b011eb82b03800255995ba,Eddy_Trades,standard,AMZN,1,-5.6,True,11/27,5.5,True,-8.04
111,135be22a29b011eb97c13800255995ba,Hugh Jassol,standard,SNAP,1,-0.26,True,11/27,0.26,True,38.46
112,25e5e7ce29b011eba27a3800255995ba,Charlie678,straddle,AMD,2,-3.48,True,11/20,,True,32.13
113,38440c1229b011eb89923800255995ba,SilverSurfie,ironcondor,AMD,4,0.32,True,12/18,,True,9.38
114,740b06fb29b011eba7463800255995ba,SilverSurfie,ironcondor,AMD,4,0.27,True,12/18,,True,-3.7
115,e694d77d29b011ebace43800255995ba,cMoney💰,standard,SPCE,1,-0.4,True,11/20,,True,15.0
116,d0612aef29b111eba5ea3800255995ba,TacoTradez🌮,standard,TSLA,1,-13.45,True,11/27,,True,6.69
117,b5acb62229b311eb9b873800255995ba,Rich,standard,CHWY,1,-2.03,True,11/27,,True,24.63
118,cf4d5fbc29b611ebbcf33800255995ba,TacoTradez🌮,standard,DKNG,1,-1.9,True,11/27,,True,-39.47
119,def601c629b711eb85703800255995ba,Engine Trades,standard,SPCE,1,0.1,True,12/18,1.63,True,0.1
120,1594981329ba11eba9003800255995ba,Hugh Jassol,standard,SPCE,1,-1.69,True,12/18,1.68,True,26.63
121,c9e4fa5f29c011eba8b53800255995ba,SammySnipes,standard,BABA,1,-3.8,True,11/27,,True,344.47
122,4fc8d48229c111eb89d53800255995ba,TacoTradez🌮,standard,TSLA,1,-14.1,True,11/27,,True,71.99
123,631db4e829c111eb8ddb3800255995ba,Eddy_Trades,standard,TSLA,1,-11.2,True,11/20,,True,8.04
124,b85a998a29c311ebbf5a3800255995ba,Reventing,standard,BABA,1,-3.75,True,11/27,,True,2.67
125,4347072629c411eba01f3800255995ba,Dick Branson,standard,SPCE,1,-1.43,True,12/18,,True,16.78
126,0774f24629cf11eb903b3800255995ba,cMoney💰,standard,FCEL,1,-0.3,True,11/20,,True,6.67
127,3d1d779529d311eba3af3800255995ba,SilverSurfie,standard,APPS,1,0.1,True,12/18,,True,0.1
128,5a863d0929d311ebad493800255995ba,SilverSurfie,standard,APPS,1,-1.0,True,12/18,1.0,True,25.0
129,e9f6012b29d311eb89e93800255995ba,Eddy_Trades,standard,ZM,1,-3.6,True,11/20,3.5,True,8.33
130,51fb808b29d511eb974c3800255995ba,Rich,standard,NFLX,1,0.1,True,11/27,1.62,True,0.1
131,6579519f29d511eb93823800255995ba,Rich,standard,NFLX,1,0.1,True,11/27,1.62,True,0.1
132,918d845629d511eb83ad3800255995ba,Rich,standard,NFLX,1,-1.64,True,11/27,1.62,True,16.46
133,c5293f1829d611eba8273800255995ba,cMoney💰,standard,ACB,1,-0.5,True,11/27,0.49,True,10.1
134,b9d2a42f29da11eb82923800255995ba,TacoTradez🌮,standard,AMD,1,-1.83,True,11/27,,True,-25.68
135,01919c2629dd11ebb9b33800255995ba,cMoney💰,standard,BYND,1,-1.05,True,12/18,,True,19.05
136,4ad900e029de11eb9b993800255995ba,BigCat,standard,PTON,1,-1.07,True,11/20,0.97,True,-20.1
137,696de15a29e011eb9b223800255995ba,JD,standard,TSLA,1,-0.8,True,11/20,0.84,True,-61.25
138,9655e97029e511eba0a73800255995ba,Hugh Jassol,standard,CGC,1,-0.58,True,12/18,0.49,False,
139,fa8d4dfa2a7311eba8553800255995ba,Eddy_Trades,standard,TSLA,1,-8.15,True,11/20,7.0,True,1.0
140,02b409e52a7411eb83c03800255995ba,SilverSurfie,standard,BLNK,1,-1.0,True,12/18,0.98,True,40.1
141,d955ad422a7411eb99213800255995ba,Reventing,standard,BA,1,-3.25,True,11/27,,True,23.08
142,fe6812e62a7411eb9b803800255995ba,Rich,standard,NFLX,1,0.1,True,12/4,2.7,True,0.1
143,2a11f3632a7511eba6bf3800255995ba,Rich,standard,NFLX,1,-2.9,True,12/4,2.7,True,-71.03
144,582bad3b2a7511ebbc423800255995ba,TacoTradez🌮,standard,TSLA,1,-18.1,True,11/27,,True,7.46
