,id,ticker,asset,symbol,quantity,date,side,trade_price,strike,bidPrice,askPrice,delta,theta,gamma,vega,description,trader,channel,time
1954,1e08750e5b2c11ebb64e69f24171e6df,AMC,OPTION,AMC_021921C3,-100,02/19/21,C,0.83,3.0,0.83,0.85,0.666,-0.0118,0.1945,0.0034,AMC Feb 19 2021 3 Call,cMoney💰,general-chat-room🗣,2021-01-20 14:31:02.193020
1955,21f1a0be5b2c11ebb64e69f24171e6df,WKHS,OPTION,WKHS_012221C28,100,1/22,CALLS,0.15,28.0,0.13,0.15,0.1007,-0.0842,0.0644,0.0037,WKHS Jan 22 2021 28 Call,Rich,request-bot🤖,2021-01-20 14:31:07.596995
1956,76cc15d25b2d11ebb64e69f24171e6df,SPCE,OPTION,SPCE_012221C33,-3,01/22/21,C,0.95,33.0,0.95,0.98,0.4876,-0.188,0.1513,0.0112,SPCE Jan 22 2021 33 Call,ED🥴,request-bot🤖,2021-01-20 14:40:39.201660
1957,7ea09ddc5b2d11ebb64e69f24171e6df,PLTR,OPTION,PLTR_021921C35,100,2/19,CALLS,1.21,35.0,1.19,1.21,0.2607,-0.0449,0.0365,0.0255,PLTR Feb 19 2021 35 Call,Rich,request-bot🤖,2021-01-20 14:40:52.519021
1958,b45da5fa5b2d11ebb64e69f24171e6df,X,OPTION,X_021921C23,-100,2/19,CALLS,1.59,23.0,1.59,1.66,0.4679,-0.0321,0.0782,0.0254,X Feb 19 2021 23 Call,therealyoungari🌺,request-bot🤖,2021-01-20 14:42:22.713913
1959,8dd1442c5b2e11ebb64e69f24171e6df,SPCE,OPTION,SPCE_012221C33.5,-4,1/22,CALLS,0.47,33.5,0.47,0.5,0.3196,-0.1624,0.147,0.0099,SPCE Jan 22 2021 33.5 Call,Dick Branson,request-bot🤖,2021-01-20 14:48:27.463564
1960,b83cf1845b2e11ebb64e69f24171e6df,AAPL,OPTION,AAPL_012921C129,-100,01/29/21,C,4.4,129.0,4.4,4.45,0.5625,-0.1978,0.041,0.0835,AAPL Jan 29 2021 129 Call,Eddy_Trades,request-bot🤖,2021-01-20 14:49:38.438526
1961,a9d108545b3011ebb64e69f24171e6df,WKHS,OPTION,WKHS_012221C28,-100,01/22/21,C,0.08,28.0,0.08,0.1,0.0772,-0.0727,0.0535,0.0029,WKHS Jan 22 2021 28 Call,Rich,request-bot🤖,2021-01-20 15:03:36.238024
1962,550b31865b3111ebb64e69f24171e6df,XOM,OPTION,XOM_012122C75,-100,01/21/22,C,0.97,75.0,0.97,1.04,0.1323,-0.0044,0.0123,0.1055,XOM Jan 21 2022 75 Call,therealyoungari🌺,request-bot🤖,2021-01-20 15:08:21.048630
1963,a391ee945b3111ebb64e69f24171e6df,AAPL,OPTION,AAPL_012921C140,100,1/29,CALLS,1.09,140.0,1.06,1.09,0.1961,-0.147,0.027,0.0588,AAPL Jan 29 2021 140 Call,Rich,request-bot🤖,2021-01-20 15:10:32.496735
1964,aa7dd6865b3211ebb64e69f24171e6df,SPCE,OPTION,SPCE_012921C34,1,1/29,CALLS,0.93,34.0,0.89,0.93,0.3237,-0.0827,0.0787,0.0184,SPCE Jan 29 2021 34 Call,Dick Branson,request-bot🤖,2021-01-20 15:17:54.130942
1965,9ece08e85b3611ebb64e69f24171e6df,SPCE,OPTION,SPCE_012921C34,1,1/29,CALLS,0.9,34.0,0.71,0.9,0.3005,-0.0819,0.0766,0.0177,SPCE Jan 29 2021 34 Call,Dick Branson,request-bot🤖,2021-01-20 15:46:13.464730
1966,3fd500705b3711ebb64e69f24171e6df,AAPL,OPTION,AAPL_012921C140,-100,01/29/21,C,1.3,140.0,1.3,1.31,0.2245,-0.1628,0.0286,0.064,AAPL Jan 29 2021 140 Call,Rich,request-bot🤖,2021-01-20 15:50:42.440460
1967,6cde64625b3711ebb64e69f24171e6df,LULU,OPTION,LULU_012921C365,100,1/29,CALLS,2.71,365.0,2.55,2.71,0.2296,-0.3182,0.015,0.1723,LULU Jan 29 2021 365 Call,Rich,request-bot🤖,2021-01-20 15:51:57.700606
1968,f4f194f85b3e11ebb64e69f24171e6df,LULU,OPTION,LULU_012921C365,-100,01/29/21,C,3.15,365.0,3.15,3.4,0.2712,-0.3501,0.0163,0.1897,LULU Jan 29 2021 365 Call,Rich,general-chat-room🗣,2021-01-20 16:45:53.682541
1969,18a5679c5b4111ebb64e69f24171e6df,NVDA,OPTION,NVDA_012221C535,100,01/22,CALLS,4.5,535.0,4.3,4.5,0.4091,-1.1169,0.0256,0.1767,NVDA Jan 22 2021 535 Call,Eddy_Trades,request-bot🤖,2021-01-20 17:01:11.866860
1970,df93bb4a5b4311ebb64e69f24171e6df,IQ,OPTION,IQ_012921C22,-100,01/29/21,C,0.58,22.0,0.58,0.59,0.3686,-0.0484,0.1532,0.0129,IQ Jan 29 2021 22 Call,ED🥴,request-bot🤖,2021-01-20 17:21:05.552536
1971,f6003be85b4711ebb64e69f24171e6df,SPCE,OPTION,SPCE_021921C35,100,2/19,CALLS,2.22,35.0,2.16,2.22,0.4036,-0.0537,0.0439,0.0354,SPCE Feb 19 2021 35 Call,Engine Trades,engine-trades🤖,2021-01-20 17:50:20.293897
1972,beeea5c65b4811ebb64e69f24171e6df,SPCE,OPTION,SPCE_021921C35,100,2/19,CALLS,2.23,35.0,2.19,2.23,0.405,-0.0539,0.0438,0.0354,SPCE Feb 19 2021 35 Call,Rich,request-bot🤖,2021-01-20 17:55:58.222011
1973,99a933b65b4911ebb64e69f24171e6df,SPCE,OPTION,SPCE_021921C35,2,2/19,CALLS,2.23,35.0,2.17,2.23,0.4066,-0.0546,0.0441,0.0355,SPCE Feb 19 2021 35 Call,therealyoungari🌺,request-bot🤖,2021-01-20 18:02:04.271512
1974,4f1060f25b4b11ebb64e69f24171e6df,SNAP,OPTION,SNAP_012921C52,100,1/29,CALLS,2.06,52.0,2.03,2.06,0.5237,-0.1066,0.0773,0.0337,SNAP Jan 29 2021 52 Call,Engine Trades,engine-trades🤖,2021-01-20 18:14:18.212655
